"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.070851250E-1,1.607113332E-2,-5.712253600E-2,7.757199407E-1,7.779863057E-1
9.170531250E-1,2.239986882E-2,-5.053813383E-2,7.809615731E-1,7.829155994E-1
9.270211250E-1,2.651392110E-2,-4.618652910E-2,7.844647169E-1,7.862703578E-1
9.369891250E-1,1.938037761E-2,-4.990670085E-2,7.895556092E-1,7.913686485E-1
9.469571250E-1,1.746026985E-2,-5.683057755E-2,7.907670140E-1,7.929987680E-1
9.569251250E-1,2.308380045E-2,-5.492961407E-2,7.959745526E-1,7.982014863E-1
9.668931250E-1,2.408084460E-2,-4.854714870E-2,7.945592999E-1,7.964051694E-1
9.768611250E-1,2.376872301E-2,-4.884861782E-2,7.987407446E-1,8.005859833E-1
9.868291250E-1,2.345131151E-2,-5.676338077E-2,7.994289398E-1,8.017846813E-1
9.967971250E-1,2.161106654E-2,-5.696151778E-2,8.006955385E-1,8.030099614E-1
1.006765125E0,1.879880764E-2,-5.683735013E-2,8.008204699E-1,8.030549822E-1
1.016733125E0,2.102814056E-2,-5.235711485E-2,8.012260795E-1,8.032102344E-1
1.026701125E0,2.052607760E-2,-5.428644642E-2,8.030644655E-1,8.051589122E-1
1.036669125E0,2.093780227E-2,-5.462307110E-2,8.029811382E-1,8.051091726E-1
1.046637125E0,1.859657094E-2,-5.598871410E-2,8.037497401E-1,8.059120382E-1
1.056605125E0,2.161286771E-2,-5.096172914E-2,7.999848127E-1,8.018976958E-1
1.066573125E0,2.558366768E-2,-4.851439223E-2,8.036857247E-1,8.055550350E-1
1.076541125E0,2.083924599E-2,-4.884009436E-2,7.988379598E-1,8.006008462E-1
1.086508125E0,1.938905194E-2,-5.196036398E-2,7.979750633E-1,7.999000040E-1
1.096476125E0,1.316444576E-2,-5.617002398E-2,7.974245548E-1,7.995087835E-1
1.106444125E0,1.275472343E-2,-5.989845470E-2,7.966288924E-1,7.989794116E-1
1.116412125E0,1.667569764E-2,-6.179728732E-2,7.962778807E-1,7.988463224E-1
1.126380125E0,1.885952801E-2,-5.642882735E-2,7.939351201E-1,7.961613337E-1
1.136348125E0,2.187129669E-2,-5.600991100E-2,7.907803655E-1,7.930630808E-1
1.146316125E0,2.030253038E-2,-5.901703984E-2,7.921548486E-1,7.946096575E-1
1.156284125E0,2.385838330E-2,-5.738026276E-2,7.917854786E-1,7.942203480E-1
1.166252125E0,2.469989285E-2,-4.935541376E-2,7.914835811E-1,7.934055083E-1
1.176220125E0,2.746398747E-2,-4.896312952E-2,7.919371128E-1,7.939244607E-1
1.186188125E0,2.534736879E-2,-4.871673882E-2,7.936564684E-1,7.955541462E-1
1.196156125E0,1.943461783E-2,-5.383427069E-2,7.920894623E-1,7.941546130E-1
1.206124125E0,1.865294576E-2,-5.786697939E-2,7.939712405E-1,7.962957054E-1
1.216092125E0,2.249535359E-2,-5.686429888E-2,7.949067950E-1,7.972555438E-1
1.226060125E0,2.256911620E-2,-5.790851638E-2,7.982398868E-1,8.006557800E-1
1.236028125E0,2.081995085E-2,-5.703206733E-2,8.027827144E-1,8.050752844E-1
1.245996125E0,1.635849476E-2,-5.851012841E-2,8.031151295E-1,8.054098005E-1
1.255964125E0,2.072554454E-2,-6.097994372E-2,8.046547174E-1,8.072281685E-1
1.265932125E0,2.712506615E-2,-5.397420377E-2,8.084737659E-1,8.107273364E-1
1.275900125E0,2.227891050E-2,-4.820712656E-2,8.150195479E-1,8.167479051E-1
