"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.666438000E0,-9.289364517E-2,1.097570136E-1,1.225435615E0,1.233842890E0
1.676479000E0,-9.850918502E-2,1.103591546E-1,1.244847178E0,1.253605879E0
1.686488000E0,-9.185551852E-2,8.520112187E-2,1.260422826E0,1.266634267E0
1.696529000E0,-7.923506945E-2,5.145141482E-2,1.276947260E0,1.280437327E0
1.706569000E0,-8.005798608E-2,5.900706351E-2,1.300228238E0,1.304026298E0
1.716609000E0,-7.623980939E-2,8.987150341E-2,1.328590751E0,1.333807624E0
1.726650000E0,-6.785345078E-2,1.069465876E-1,1.357427239E0,1.363323283E0
1.736690000E0,-7.212170213E-2,1.253929734E-1,1.377916813E0,1.385488968E0
1.746730000E0,-7.860071957E-2,1.473449618E-1,1.392230034E0,1.402210069E0
1.756770000E0,-7.537909597E-2,1.507713795E-1,1.402418971E0,1.412513004E0
1.766811000E0,-6.803745776E-2,1.511252820E-1,1.414798737E0,1.424473029E0
1.776851000E0,-7.108811289E-2,1.562966108E-1,1.422604442E0,1.432929010E0
1.786891000E0,-6.672842801E-2,1.602090895E-1,1.425217152E0,1.435744951E0
1.796932000E0,-5.482942238E-2,1.450418532E-1,1.428629756E0,1.437019967E0
1.806972000E0,-4.714546353E-2,1.453272104E-1,1.431207180E0,1.439338975E0
1.817012000E0,-4.134669900E-2,1.393036842E-1,1.421684504E0,1.429091282E0
1.827052000E0,-3.344691917E-2,1.398573220E-1,1.413855195E0,1.421149281E0
1.837093000E0,-2.860715985E-2,1.314009875E-1,1.401717305E0,1.408153398E0
1.847133000E0,-2.176125348E-2,1.214093789E-1,1.386056185E0,1.391533520E0
1.857143000E0,-1.477178466E-2,1.200447753E-1,1.374989867E0,1.380299275E0
1.867183000E0,-9.371776134E-3,1.188084632E-1,1.360541105E0,1.365750849E0
1.877223000E0,-3.788192756E-3,1.041458994E-1,1.345058799E0,1.349090023E0
1.887264000E0,-4.141623154E-3,1.130219102E-1,1.326944351E0,1.331755389E0
1.897304000E0,2.191374078E-3,9.404981881E-2,1.310424328E0,1.313796822E0
1.907344000E0,5.237839185E-3,9.419848025E-2,1.293607354E0,1.297043089E0
1.917384000E0,2.141787484E-2,7.022443414E-2,1.277104855E0,1.279213433E0
1.927425000E0,2.352762967E-2,6.794397533E-2,1.263211131E0,1.265255822E0
1.937465000E0,2.115608566E-2,6.814157963E-2,1.247373343E0,1.249412306E0
1.947505000E0,1.932090148E-2,6.851974875E-2,1.232355714E0,1.234410328E0
