"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.370345834E-1,3.502938747E-1,3.356081247E-1,7.762799263E0,7.777942595E0
9.470025834E-1,3.264031708E-1,3.782634437E-1,8.029120445E0,8.044650234E0
9.569705834E-1,2.245888561E-1,4.534090161E-1,7.948941231E0,7.965028975E0
9.669395833E-1,9.416894056E-3,4.784861505E-1,7.586103916E0,7.601184796E0
9.769075833E-1,-2.797852755E-1,4.756121039E-1,7.046779633E0,7.068351283E0
9.868765833E-1,-5.616853833E-1,4.721585214E-1,6.414186001E0,6.456020926E0
9.968445833E-1,-7.776990533E-1,4.711926281E-1,5.840409279E0,5.910771426E0
1.006813583E0,-9.684588909E-1,4.022108912E-1,5.469999790E0,5.569612547E0
1.016781583E0,-1.198849320E0,3.036495447E-1,5.281257153E0,5.424123879E0
1.026750583E0,-1.481730580E0,2.318568677E-1,5.252095222E0,5.462031430E0
1.036718583E0,-1.779380083E0,2.048060745E-1,5.320604801E0,5.613998081E0
1.046686583E0,-2.033916950E0,1.994762868E-1,5.444267750E0,5.815209393E0
1.056655583E0,-2.252279043E0,1.390150040E-1,5.604012966E0,6.041278622E0
1.066623583E0,-2.457283258E0,3.040145151E-2,5.795187473E0,6.294709136E0
1.076592583E0,-2.649472713E0,-8.391303942E-3,5.903922081E0,6.471172383E0
1.086560583E0,-2.825008392E0,5.017879605E-2,5.797407627E0,6.449273255E0
1.096529583E0,-2.992853403E0,9.635075927E-2,5.497828960E0,6.260397610E0
1.106497583E0,-3.120406389E0,4.662554711E-2,5.199842453E0,6.064443215E0
1.116465583E0,-3.182829380E0,-1.719288975E-1,5.047326088E0,5.969544626E0
1.126434583E0,-3.196473837E0,-3.963428140E-1,5.044180870E0,5.984838617E0
1.136402583E0,-3.168061495E0,-5.589830279E-1,5.041098118E0,5.980112532E0
1.146371583E0,-3.141842604E0,-5.900110006E-1,4.941262245E0,5.885181433E0
1.156339583E0,-3.115933418E0,-5.054434538E-1,4.682212830E0,5.646913417E0
1.166308583E0,-3.106547832E0,-3.591381609E-1,4.231791019E0,5.261907913E0
1.176276583E0,-3.115692616E0,-1.388077140E-1,3.701359272E0,4.840131043E0
1.186245583E0,-3.150108099E0,1.643899679E-1,3.204292297E0,4.496409037E0
1.196213583E0,-3.221669912E0,5.520624518E-1,2.832932234E0,4.325440442E0
1.206181583E0,-3.313505888E0,9.839360714E-1,2.629643917E0,4.343095508E0
1.216150583E0,-3.445819378E0,1.277577043E0,2.503961086E0,4.446987228E0
1.226118583E0,-3.661813498E0,1.256376505E0,2.379885197E0,4.544360633E0
1.236087583E0,-3.925350666E0,1.266665816E0,2.260688066E0,4.703565741E0
1.246055583E0,-4.184690475E0,1.253787637E0,2.089081764E0,4.842301150E0
1.256024583E0,-4.374235630E0,1.165441632E0,1.815717578E0,4.877399088E0
1.265992583E0,-4.476143360E0,1.200101137E0,1.429996490E0,4.849844542E0
1.275961583E0,-4.568526745E0,1.317797780E0,9.797369242E-1,4.854679397E0
1.285929583E0,-4.660430908E0,1.568548560E0,5.567140579E-1,4.948726238E0
1.295897583E0,-4.693607330E0,1.891027451E0,1.463727653E-1,5.062347240E0
1.305866583E0,-4.661131859E0,2.293764830E0,-2.952019870E-1,5.203330809E0
1.315834583E0,-4.608075619E0,2.669328213E0,-7.964793444E-1,5.384612647E0
1.325803583E0,-4.581537724E0,2.894000053E0,-1.361072659E0,5.587328790E0
1.335771583E0,-4.629443169E0,2.938086987E0,-1.877112031E0,5.795485206E0
1.345740583E0,-4.615141392E0,3.070161104E0,-2.262133837E0,5.986874708E0
1.355708583E0,-4.467506409E0,3.250561953E0,-2.572939157E0,6.094651953E0
1.365676583E0,-4.175724983E0,3.513658762E0,-2.800411224E0,6.133904145E0
1.375645583E0,-3.785831928E0,3.771100521E0,-3.014470816E0,6.135206339E0
1.385613583E0,-3.347395658E0,4.148891449E0,-3.185818195E0,6.210297539E0
1.395582583E0,-2.885514498E0,4.730537415E0,-3.310727358E0,6.454850408E0
1.405550583E0,-2.445124149E0,5.192161560E0,-3.403602362E0,6.672457029E0
1.415519583E0,-2.049642801E0,5.684710503E0,-3.432913303E0,6.949954162E0
1.425487583E0,-1.710264206E0,6.008152008E0,-3.449782372E0,7.136097856E0
1.435456583E0,-1.484664917E0,5.932631969E0,-3.421809673E0,7.007790910E0
1.445424583E0,-1.386652112E0,5.657166958E0,-3.287169695E0,6.688185604E0
1.455392583E0,-1.376166344E0,5.296708584E0,-3.072654963E0,6.276158391E0
1.465364375E0,-1.392270923E0,4.845401287E0,-2.894998550E0,5.813548706E0
1.475332375E0,-1.392441392E0,4.529176235E0,-2.801380396E0,5.504549257E0
1.485301375E0,-1.306306839E0,4.548813820E0,-2.703471661E0,5.450403998E0
1.495269375E0,-1.093490481E0,4.946291447E0,-2.543467760E0,5.668399135E0
1.505238375E0,-7.329124212E-1,5.434623241E0,-2.442021132E0,6.002979060E0
1.515206375E0,-2.531864643E-1,5.785474777E0,-2.444997311E0,6.286002993E0
1.525175375E0,2.760300040E-1,6.021725655E0,-2.489579916E0,6.521915407E0
1.535143375E0,7.762948871E-1,6.292838573E0,-2.471475124E0,6.805192161E0
1.545111375E0,1.219550610E0,6.461581707E0,-2.394506216E0,6.998071296E0
1.555080375E0,1.624201298E0,6.388157845E0,-2.322096586E0,6.988470724E0
1.565048375E0,1.967742205E0,6.230025291E0,-2.240324497E0,6.906828387E0
1.575017375E0,2.271823168E0,5.909763336E0,-2.181490660E0,6.696669672E0
1.584985375E0,2.526577950E0,5.363383293E0,-2.105172157E0,6.291361243E0
1.594954375E0,2.736173630E0,4.713623047E0,-1.901015043E0,5.772239302E0
1.604922375E0,2.915232897E0,4.076631069E0,-1.586444855E0,5.256834693E0
1.614891375E0,3.099439144E0,3.717588902E0,-1.236920714E0,4.995694456E0
1.624859375E0,3.259692907E0,3.793059111E0,-8.514649868E-1,5.073252201E0
1.634827375E0,3.347957134E0,4.192342758E0,-4.492115080E-1,5.383896893E0
1.644796375E0,3.442900181E0,4.363219738E0,-1.032514349E-1,5.558948551E0
1.654764375E0,3.578823328E0,4.101684093E0,1.238236874E-1,5.444916999E0
1.664733375E0,3.793496370E0,3.770853758E0,2.731702924E-1,5.355798240E0
1.674701375E0,4.097066402E0,3.386090994E0,3.809310794E-1,5.328852955E0
1.684670375E0,4.507111549E0,2.961774588E0,4.814177454E-1,5.414603058E0
1.694638375E0,5.005951405E0,2.523441315E0,6.035185456E-1,5.638398724E0
1.704607375E0,5.525730133E0,2.087935925E0,7.659682035E-1,5.956498738E0
1.714575375E0,5.997339725E0,1.749670744E0,9.983221889E-1,6.326616686E0
1.724543375E0,6.390059948E0,1.510570765E0,1.302266598E0,6.694071143E0
1.734512375E0,6.728428364E0,1.432965040E0,1.641031981E0,7.072349186E0
1.744480375E0,6.997257710E0,1.466841221E0,2.008465052E0,7.426114090E0
1.754449375E0,7.145576477E0,1.494141817E0,2.418945551E0,7.690449957E0
1.764417375E0,7.125271320E0,1.553768396E0,2.827840328E0,7.821788065E0
1.774386375E0,6.914696217E0,1.686724901E0,3.154534578E0,7.785188056E0
1.784354375E0,6.550106049E0,1.755660057E0,3.360761166E0,7.568417741E0
1.794323375E0,6.145983219E0,1.865405917E0,3.487088442E0,7.308394815E0
1.804291375E0,5.733508587E0,1.591220140E0,3.521544933E0,6.914215861E0
1.814259375E0,5.278440475E0,1.192664266E0,3.468156576E0,6.427479439E0
1.824228375E0,4.818196774E0,9.926142097E-1,3.329616785E0,5.940256817E0
1.834196375E0,4.331797600E0,1.162380457E0,3.160269499E0,5.486611165E0
1.844165375E0,3.802774429E0,1.266444325E0,3.060984850E0,5.043273029E0
