"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.737556250E-1,-1.521952629E0,-2.030128956E0,4.172273636E0,4.883198816E0
9.837956250E-1,-1.641724586E0,-2.070751190E0,3.918841600E0,4.726583290E0
9.938366250E-1,-1.720243573E0,-2.180297613E0,3.964563608E0,4.840526855E0
1.003876625E0,-1.835240126E0,-2.144632339E0,3.988448858E0,4.886233568E0
1.013916625E0,-1.887830019E0,-1.925212145E0,4.006037712E0,4.828942134E0
1.023957625E0,-1.868560195E0,-1.698684454E0,4.090648651E0,4.807333197E0
1.033997625E0,-1.887357473E0,-1.564250112E0,4.134799957E0,4.806825078E0
1.044037625E0,-1.842260361E0,-1.372445583E0,4.271746635E0,4.850293747E0
1.054077625E0,-1.810810089E0,-1.227189779E0,4.526828289E0,5.027643811E0
1.064118625E0,-1.910834789E0,-1.107467413E0,4.497941494E0,5.010913225E0
1.074158625E0,-2.057426453E0,-1.116051435E0,4.242577076E0,4.845413776E0
1.084168625E0,-2.198914766E0,-1.093151212E0,4.264804363E0,4.921256138E0
1.094208625E0,-2.345146656E0,-1.131364226E0,4.217776775E0,4.956746794E0
1.104248625E0,-2.543646574E0,-1.129635572E0,4.094081879E0,4.950527330E0
1.114289625E0,-2.732415915E0,-1.046862125E0,3.923377514E0,4.894375155E0
1.124329625E0,-2.879307032E0,-9.486559033E-1,3.796802759E0,4.858607640E0
1.134369625E0,-2.712319613E0,-6.717413664E-1,3.795257807E0,4.712949816E0
1.144409625E0,-2.586237192E0,-5.053380728E-1,3.856357336E0,4.670704581E0
1.154450625E0,-2.617620707E0,-3.355555236E-1,3.890350580E0,4.700995991E0
1.164490625E0,-2.661902666E0,-2.465441823E-1,3.898820639E0,4.727294386E0
1.174530625E0,-2.691350222E0,-1.355858147E-1,3.907704353E0,4.746778154E0
1.184571625E0,-2.794854403E0,-1.288786251E-2,3.906220675E0,4.803117445E0
1.194611625E0,-2.925034761E0,-3.833623976E-2,3.897810221E0,4.873420004E0
1.204651625E0,-3.035135508E0,3.503810614E-2,3.911550999E0,4.951111636E0
1.214691625E0,-3.162672997E0,1.091477424E-1,3.900043011E0,5.022424633E0
1.224732625E0,-3.279196501E0,3.279971331E-2,3.899998426E0,5.095507162E0
1.234772625E0,-3.348088741E0,1.417300552E-1,3.907681942E0,5.147792127E0
1.244812625E0,-3.393012285E0,1.173799783E-1,3.948684931E0,5.207535224E0
1.254853625E0,-3.370800495E0,1.898868829E-1,3.991704702E0,5.228007215E0
1.264912000E0,-3.219712973E0,3.903411329E-1,4.107534885E0,5.233618314E0
1.274952000E0,-3.122863293E0,4.643389285E-1,4.301469803E0,5.335778130E0
1.284962000E0,-3.040907383E0,6.266255975E-1,4.614365578E0,5.561667649E0
1.295002000E0,-3.127903461E0,9.671131968E-1,4.745255470E0,5.765113830E0
